Invoice_ID,PO_Number,Supplier_ID,Invoice_Amount,Currency,Invoice_Date,Description,Department,Requestor,Status
INV-000079,,SUP-020,1674.18,USD,2025-10-07,Suspicious Non-PO Request,Operations,User_15,Reject
INV-000080,PO-00176,SUP-020,2151.54,USD,2025-09-29,Facilities Management Retainer,Operations,User_3,Approve
INV-000081,PO-00039,SUP-025,43787.05,EUR,2025-05-30,Security Guard Services - Nov,Operations,User_18,Approve
INV-000082,PO-00165,SUP-022,2776.55,USD,2025-02-01,Audit Services - FY2025,Finance,User_12,Approve
INV-000083,PO-00183,SUP-029,12691.03,USD,2026-01-11,Audit Services - FY2025 (Shipping/Tax Diff),Finance,User_20,Review Further
INV-000084,PO-00144,SUP-035,24216.69,USD,2025-02-24,Facilities Management Retainer (Shipping/Tax Diff),Operations,User_11,Review Further
INV-000085,PO-00227,SUP-022,31618.84,EUR,2025-09-21,Bank Transaction Fees (Shipping/Tax Diff),Finance,User_10,Review Further
INV-000086,,SUP-049,2073.89,USD,2025-03-24,Suspicious Non-PO Request,Operations,User_14,Reject
INV-000087,PO-00211,SUP-025,17906.49,USD,2025-07-17,Unrelated Service Fee,Operations,User_16,Reject
INV-000088,,SUP-047,4822.51,USD,2025-10-17,Software Development Consultation - Q3,IT,User_5,Review Further
INV-000089,PO-00274,SUP-035,9522.76,USD,2025-12-12,HVAC Maintenance and Repair,Operations,User_15,Approve
INV-000090,PO-00222,SUP-020,11415.66,USD,2025-02-07,Office Cleaning Services - Monthly,Operations,User_7,Approve
INV-000091,PO-00283,SUP-050,3639.58,EUR,2025-09-27,Facilities Management Retainer,Operations,User_9,Reject
INV-000092,PO-00081,SUP-038,45835.49,EUR,2025-05-11,Waste Management Services,Operations,User_13,Reject
INV-000093,,SUP-034,4382.28,USD,2025-03-12,Suspicious Non-PO Request,IT,User_2,Reject
INV-000094,PO-00300,SUP-017,34731.75,EUR,2026-01-15,Cisco Meraki MR56 Access Points,IT,User_17,Reject
INV-000095,,SUP-042,3009.04,USD,2026-01-09,Suspicious Non-PO Request,Operations,User_2,Reject
INV-000096,PO-00166,SUP-018,7705.7,USD,2025-09-05,Waste Management Services,Operations,User_6,Approve
INV-000097,PO-00097,SUP-023,14711.16,USD,2025-02-23,Financial Reporting Software - Seat License (Shipping/Tax Diff),Finance,User_15,Review Further
INV-000098,PO-00126,SUP-010,4500.0,USD,2025-11-05,Bank Transaction Fees (Shipping/Tax Diff),Finance,User_5,Review Further
INV-000099,PO-00194,SUP-025,11189.59,USD,2025-11-20,Office Supplies - Paper/Pens/Ink,Operations,User_5,Approve
INV-000100,PO-00071,SUP-014,620.94,USD,2025-09-30,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_12,Review Further
INV-000101,PO-00085,SUP-024,21623.67,USD,2025-11-09,Unrelated Service Fee,IT,User_16,Reject
INV-000102,PO-00051,SUP-001,14543.47,USD,2025-11-11,Facilities Management Retainer (Shipping/Tax Diff),Operations,User_8,Review Further
INV-000103,PO-00029,SUP-016,22964.01,USD,2025-11-30,Office Supplies - Paper/Pens/Ink (Shipping/Tax Diff),Operations,User_10,Review Further
INV-000104,,SUP-004,960.2,USD,2025-10-16,Suspicious Non-PO Request,Operations,User_16,Reject
INV-000105,PO-00050,SUP-047,961.12,GBP,2025-02-24,Microsoft 365 Enterprise Licenses (Annual),IT,User_18,Review Further
INV-000106,PO-00123,SUP-001,33383.97,EUR,2025-02-26,HVAC Maintenance and Repair,Operations,User_4,Reject
INV-000107,,SUP-001,1684.8,USD,2025-02-23,Facilities Management Retainer,Operations,User_15,Review Further
INV-000108,PO-00133,SUP-037,14761.19,EUR,2025-05-30,Cloud Hosting Services - AWS,IT,User_3,Approve
INV-000109,PO-00045,SUP-011,30994.68,USD,2025-03-18,Cisco Meraki MR56 Access Points (Shipping/Tax Diff),IT,User_17,Review Further
INV-000110,PO-00243,SUP-030,9139.19,USD,2025-12-14,Software Development Consultation - Q3 (Shipping/Tax Diff),IT,User_13,Review Further
INV-000111,PO-00079,SUP-009,49177.18,USD,2025-05-17,Cisco Meraki MR56 Access Points,IT,User_2,Reject
INV-000112,PO-00194,SUP-025,11189.59,GBP,2025-12-25,Office Supplies - Paper/Pens/Ink,Operations,User_5,Review Further
INV-000113,PO-00110,SUP-024,23511.25,USD,2025-10-04,Cloud Hosting Services - AWS,IT,User_8,Approve
INV-000114,PO-00244,SUP-022,36720.73,USD,2025-07-29,Audit Services - FY2025 (Shipping/Tax Diff),Finance,User_3,Review Further
INV-000115,PO-00292,SUP-020,42714.9,USD,2025-04-25,Pest Control Quarterly Service,Operations,User_15,Approve
INV-000116,PO-00007,SUP-040,18269.48,USD,2025-03-25,Unrelated Service Fee,Marketing,User_2,Reject
INV-000117,PO-00015,SUP-013,40349.77,USD,2025-02-26,Monitor 27-inch 4K - Dell UltraSharp,IT,User_3,Approve
INV-000118,,SUP-038,4327.22,USD,2025-03-29,Suspicious Non-PO Request,Operations,User_1,Reject
INV-000119,PO-00164,SUP-038,40419.34,EUR,2025-03-20,Security Guard Services - Nov (Shipping/Tax Diff),Operations,User_6,Review Further
INV-000120,PO-00108,SUP-043,7894.28,EUR,2025-11-04,Financial Reporting Software - Seat License,Finance,User_5,Reject
INV-000121,PO-00031,SUP-012,3985.49,USD,2025-06-10,Dell Latitude 5520 Laptop (Count: 5) (Shipping/Tax Diff),IT,User_19,Review Further
INV-000122,PO-00089,SUP-049,36836.93,USD,2025-09-02,Office Supplies - Paper/Pens/Ink (Shipping/Tax Diff),Operations,User_14,Review Further
INV-000123,PO-00124,SUP-022,20035.01,EUR,2025-11-07,Payroll Processing Fees - Oct,Finance,User_11,Reject
INV-000124,PO-00054,SUP-011,11769.99,USD,2025-10-28,Cloud Hosting Services - AWS,IT,User_11,Reject
INV-000125,PO-00078,SUP-009,33360.76,USD,2025-11-14,Software Development Consultation - Q3,IT,User_8,Approve
INV-000126,,SUP-038,3550.49,USD,2025-01-18,Suspicious Non-PO Request,Operations,User_7,Reject
INV-000127,PO-00195,SUP-025,15280.04,USD,2025-02-16,HVAC Maintenance and Repair (Shipping/Tax Diff),Operations,User_18,Review Further
INV-000128,,SUP-037,2684.45,USD,2025-08-12,Suspicious Non-PO Request,IT,User_1,Reject
INV-000129,,SUP-035,4888.52,USD,2025-01-22,Suspicious Non-PO Request,Operations,User_17,Reject
INV-000130,PO-00262,SUP-044,19058.18,USD,2025-03-03,Audit Services - FY2025,Finance,User_4,Approve
INV-000131,PO-00246,SUP-039,17001.42,USD,2025-05-10,HVAC Maintenance and Repair,Operations,User_10,Approve
INV-000132,PO-00298,SUP-032,34184.48,USD,2025-10-10,Payroll Processing Fees - Oct,Finance,User_5,Reject
INV-000133,PO-00228,SUP-046,1532.4,USD,2025-08-25,Facilities Management Retainer,Operations,User_20,Approve
INV-000134,PO-00261,SUP-037,21037.4,USD,2025-03-12,Monitor 27-inch 4K - Dell UltraSharp,IT,User_8,Approve
INV-000135,PO-00026,SUP-016,46490.38,USD,2025-04-23,Breakroom Snacks and Coffee,Operations,User_2,Approve
INV-000136,PO-00281,SUP-022,15041.44,USD,2025-11-14,Audit Services - FY2025,Finance,User_11,Approve
INV-000137,PO-00296,SUP-027,18364.38,USD,2025-03-09,Corporate Insurance Premium,Finance,User_15,Approve
INV-000138,,SUP-039,898.35,USD,2025-09-26,Suspicious Non-PO Request,Operations,User_14,Reject
INV-000139,PO-00116,SUP-033,5106.14,EUR,2025-02-25,SEO Optimization Services,Marketing,User_8,Approve
INV-000140,PO-00062,SUP-028,43297.98,EUR,2025-06-29,Cisco Meraki MR56 Access Points,IT,User_1,Approve
INV-000141,PO-00197,SUP-044,29648.22,USD,2025-05-18,Audit Services - FY2025,Finance,User_9,Approve
INV-000142,PO-00259,SUP-039,5010.72,USD,2025-07-21,HVAC Maintenance and Repair (Shipping/Tax Diff),Operations,User_15,Review Further
INV-000143,,SUP-011,4647.39,USD,2025-06-24,Suspicious Non-PO Request,IT,User_1,Reject
INV-000144,PO-00019,SUP-031,11967.89,EUR,2025-07-29,Google Ads Spend - September (Shipping/Tax Diff),Marketing,User_3,Review Further
INV-000145,PO-00028,SUP-043,6855.38,GBP,2025-05-02,Payroll Processing Fees - Oct,Finance,User_9,Review Further
INV-000146,PO-00020,SUP-050,8065.65,EUR,2025-03-20,HVAC Maintenance and Repair,Operations,User_20,Approve
INV-000147,PO-00286,SUP-001,42443.34,USD,2025-06-06,Facilities Management Retainer (Shipping/Tax Diff),Operations,User_13,Review Further
INV-000148,,SUP-035,2213.59,USD,2025-02-21,Suspicious Non-PO Request,Operations,User_11,Reject
INV-000149,PO-00251,SUP-046,27489.57,USD,2025-03-21,Office Cleaning Services - Monthly (Shipping/Tax Diff),Operations,User_20,Review Further
INV-000150,PO-00070,SUP-022,27157.14,USD,2025-04-26,Corporate Insurance Premium,Finance,User_9,Reject
INV-000151,PO-00146,SUP-014,27793.28,EUR,2025-04-25,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_15,Review Further
INV-000152,,SUP-019,813.39,USD,2025-12-04,Suspicious Non-PO Request,Operations,User_5,Reject
INV-000153,,SUP-034,75.72,USD,2025-06-20,Suspicious Non-PO Request,IT,User_15,Reject
INV-000154,,SUP-030,482.12,USD,2025-08-22,Monitor 27-inch 4K - Dell UltraSharp,IT,User_15,Review Further
INV-000155,,SUP-007,2793.39,USD,2025-11-15,Suspicious Non-PO Request,IT,User_20,Reject
INV-000156,,SUP-023,2098.36,USD,2025-02-26,Suspicious Non-PO Request,Finance,User_18,Reject
INV-000157,,SUP-044,1934.62,USD,2025-03-26,Financial Reporting Software - Seat License,Finance,User_9,Review Further
INV-000158,,SUP-042,877.68,USD,2025-06-04,Suspicious Non-PO Request,Operations,User_14,Reject
INV-000159,,SUP-045,1295.91,USD,2025-05-20,Suspicious Non-PO Request,Marketing,User_16,Reject
INV-000160,,SUP-006,83.5,USD,2025-08-04,Suspicious Non-PO Request,Operations,User_11,Reject
INV-000161,PO-00168,SUP-035,11993.33,EUR,2025-05-09,Breakroom Snacks and Coffee,Operations,User_9,Approve
INV-000162,PO-00142,SUP-009,17724.07,USD,2025-10-02,Software Development Consultation - Q3,IT,User_4,Approve
INV-000163,PO-00052,SUP-009,8797.69,USD,2025-07-04,Cloud Hosting Services - AWS (Shipping/Tax Diff),IT,User_18,Review Further
INV-000164,PO-00125,SUP-029,12997.68,USD,2025-03-26,Payroll Processing Fees - Oct,Finance,User_3,Approve
INV-000165,PO-00041,SUP-033,24539.24,EUR,2025-08-31,Unrelated Service Fee,Marketing,User_2,Reject
INV-000166,PO-00052,SUP-009,9885.92,USD,2025-07-15,Cloud Hosting Services - AWS,IT,User_18,Reject
INV-000167,,SUP-042,4986.46,USD,2025-04-16,Suspicious Non-PO Request,Operations,User_18,Reject
INV-000168,PO-00022,SUP-019,38511.47,USD,2026-02-11,Breakroom Snacks and Coffee (Shipping/Tax Diff),Operations,User_4,Review Further
INV-000169,,SUP-029,4246.55,USD,2025-08-11,Suspicious Non-PO Request,Finance,User_16,Reject
INV-000170,,SUP-036,3310.38,USD,2025-08-18,Suspicious Non-PO Request,Finance,User_13,Reject
INV-000171,PO-00225,SUP-026,38729.75,USD,2025-11-27,Corporate Insurance Premium (Shipping/Tax Diff),Finance,User_3,Review Further
INV-000172,PO-00017,SUP-014,23213.17,USD,2026-01-02,Financial Reporting Software - Seat License,Finance,User_8,Approve
INV-000173,PO-00034,SUP-030,39973.46,USD,2025-05-10,Server Rack Maintenance Fee,IT,User_16,Reject
INV-000174,PO-00049,SUP-022,21745.93,USD,2025-06-01,Bank Transaction Fees (Shipping/Tax Diff),Finance,User_15,Review Further
INV-000175,PO-00025,SUP-003,29874.05,USD,2025-04-28,Dell Latitude 5520 Laptop (Count: 5) (Shipping/Tax Diff),IT,User_16,Review Further
INV-000176,PO-00278,SUP-047,22129.09,EUR,2025-07-22,Monitor 27-inch 4K - Dell UltraSharp,IT,User_13,Approve
INV-000177,,SUP-034,1148.91,USD,2025-10-06,Suspicious Non-PO Request,IT,User_18,Reject
INV-000178,PO-00013,SUP-030,39337.02,EUR,2025-11-06,Cisco Meraki MR56 Access Points (Shipping/Tax Diff),IT,User_13,Review Further
INV-000179,PO-00056,SUP-027,31897.08,USD,2025-03-21,Financial Reporting Software - Seat License,Finance,User_1,Approve
INV-000180,PO-00255,SUP-046,71442.74,USD,2025-07-01,Pest Control Quarterly Service,Operations,User_12,Reject
INV-000181,PO-00233,SUP-050,7748.99,USD,2025-03-21,Office Supplies - Paper/Pens/Ink,Operations,User_20,Approve
INV-000182,PO-00284,SUP-048,33723.6,USD,2025-02-28,Payroll Processing Fees - Oct,Finance,User_17,Approve
INV-000183,PO-00163,SUP-030,33806.15,USD,2025-05-22,Cloud Hosting Services - AWS (Shipping/Tax Diff),IT,User_3,Review Further
INV-000184,,SUP-005,1748.24,USD,2025-03-10,Suspicious Non-PO Request,Operations,User_6,Reject
INV-000185,PO-00165,SUP-022,2776.55,USD,2025-02-25,Audit Services - FY2025,Finance,User_12,Approve
INV-000186,PO-00278,SUP-047,22129.09,EUR,2025-08-16,Monitor 27-inch 4K - Dell UltraSharp,IT,User_13,Approve
INV-000187,PO-00136,SUP-027,39735.11,USD,2025-05-21,Corporate Insurance Premium,Finance,User_15,Approve
INV-000188,PO-00094,SUP-038,1936.73,EUR,2025-10-29,Facilities Management Retainer,Operations,User_6,Approve
INV-000189,PO-00146,SUP-014,26162.75,EUR,2025-05-18,Corporate Insurance Premium,Finance,User_15,Approve
INV-000190,PO-00134,SUP-024,42958.11,EUR,2025-06-03,Lenovo ThinkPad X1 Carbon Gen 9 (Shipping/Tax Diff),IT,User_4,Review Further
INV-000191,PO-00062,SUP-028,46254.78,EUR,2025-05-28,Cisco Meraki MR56 Access Points (Shipping/Tax Diff),IT,User_1,Review Further
INV-000192,PO-00152,SUP-014,7659.78,USD,2025-11-24,Tax Consultation Fees,Finance,User_3,Approve
INV-000193,PO-00037,SUP-011,43362.37,USD,2025-08-13,Microsoft 365 Enterprise Licenses (Annual) (Shipping/Tax Diff),IT,User_7,Review Further
INV-000194,,SUP-001,1792.33,USD,2025-09-05,Suspicious Non-PO Request,Operations,User_20,Reject
INV-000195,PO-00008,SUP-030,6678.9,USD,2025-11-24,Monitor 27-inch 4K - Dell UltraSharp,IT,User_18,Approve
INV-000196,PO-00017,SUP-014,24650.73,USD,2025-12-17,Financial Reporting Software - Seat License (Shipping/Tax Diff),Finance,User_8,Review Further
INV-000197,,SUP-020,3482.51,USD,2025-10-02,Suspicious Non-PO Request,Operations,User_13,Reject
INV-000198,PO-00168,SUP-035,11993.33,EUR,2025-04-29,Breakroom Snacks and Coffee,Operations,User_9,Approve
INV-000199,PO-00291,SUP-015,54801.83,EUR,2025-06-08,Cloud Hosting Services - AWS (Shipping/Tax Diff),IT,User_7,Review Further
INV-000200,,SUP-037,1479.73,USD,2025-04-19,Suspicious Non-PO Request,IT,User_11,Reject
INV-000201,PO-00175,SUP-016,46174.7,USD,2026-01-21,HVAC Maintenance and Repair,Operations,User_2,Reject
INV-000202,PO-00093,SUP-048,48727.31,USD,2025-12-15,Payroll Processing Fees - Oct (Shipping/Tax Diff),Finance,User_9,Review Further
INV-000203,PO-00148,SUP-021,1929.04,USD,2025-03-28,Bank Transaction Fees,Finance,User_6,Approve
INV-000204,,SUP-003,202.76,USD,2025-05-06,Dell Latitude 5520 Laptop (Count: 5),IT,User_10,Review Further
INV-000205,PO-00059,SUP-027,41812.45,USD,2025-03-03,Corporate Insurance Premium,Finance,User_14,Approve
INV-000206,PO-00068,SUP-044,31447.93,USD,2025-05-22,Financial Reporting Software - Seat License (Shipping/Tax Diff),Finance,User_4,Review Further
INV-000207,,SUP-049,3886.81,USD,2025-07-20,Suspicious Non-PO Request,Operations,User_18,Reject
INV-000208,PO-00057,SUP-044,32037.11,USD,2025-04-18,Financial Reporting Software - Seat License,Finance,User_15,Approve
INV-000209,,SUP-038,4158.85,USD,2025-05-20,Suspicious Non-PO Request,Operations,User_10,Reject
INV-000210,PO-00122,SUP-003,14053.7,USD,2025-08-02,Dell Latitude 5520 Laptop (Count: 5),IT,User_9,Reject
INV-000211,,SUP-011,3701.18,USD,2026-01-01,Monitor 27-inch 4K - Dell UltraSharp,IT,User_12,Review Further
INV-000212,,SUP-014,1072.77,USD,2025-04-29,Suspicious Non-PO Request,Finance,User_2,Reject
INV-000213,,SUP-033,2716.9,USD,2025-06-28,Suspicious Non-PO Request,Marketing,User_10,Reject
INV-000214,PO-00103,SUP-049,48204.87,GBP,2025-11-27,Security Guard Services - Nov,Operations,User_10,Review Further
INV-000215,,SUP-046,3762.97,USD,2025-08-12,Suspicious Non-PO Request,Operations,User_2,Reject
INV-000216,,SUP-012,4337.09,USD,2025-05-21,Suspicious Non-PO Request,IT,User_5,Reject
INV-000217,PO-00035,SUP-041,5576.83,USD,2025-05-09,Monitor 27-inch 4K - Dell UltraSharp (Shipping/Tax Diff),IT,User_14,Review Further
INV-000218,PO-00201,SUP-050,42441.28,USD,2025-09-21,Waste Management Services,Operations,User_16,Approve
INV-000219,PO-00198,SUP-042,49513.3,USD,2025-04-06,Security Guard Services - Nov,Operations,User_16,Reject
INV-000220,PO-00085,SUP-024,28560.88,USD,2025-11-06,Server Rack Maintenance Fee,IT,User_16,Reject
INV-000221,,SUP-008,3881.97,USD,2025-03-02,Suspicious Non-PO Request,IT,User_15,Reject
INV-000222,PO-00218,SUP-002,4705.37,USD,2025-12-13,Q3 Digital Ad Campaign Management,Marketing,User_6,Approve
INV-000223,PO-00227,SUP-022,28883.28,EUR,2025-09-11,Bank Transaction Fees,Finance,User_10,Approve
INV-000224,PO-00019,SUP-031,11356.38,EUR,2025-08-24,Google Ads Spend - September,Marketing,User_3,Approve
INV-000225,,SUP-045,4269.49,USD,2025-07-08,Q3 Digital Ad Campaign Management,Marketing,User_2,Review Further
INV-000226,PO-00289,SUP-041,14295.14,USD,2025-12-20,Microsoft 365 Enterprise Licenses (Annual),IT,User_6,Approve
INV-000227,PO-00188,SUP-007,30974.78,USD,2025-10-21,Cloud Hosting Services - AWS,IT,User_12,Approve
INV-000228,,SUP-015,4792.26,USD,2025-04-27,Cloud Hosting Services - AWS,IT,User_5,Review Further
